,Concept,Type,Definition,Process_name,Concept_range
15,interpersonal and team skills,has_techniques_and_tools, interpersonal and team skills described in section interpersonal and team skills. the interpersonal and team skills that can be used in this process include but are not limited to    nominal group technique. the nominal group technique enhances brainstorming with a voting process used to rank the most useful ideas for further brainstorming or for prioritization. the nominal group technique is a structured form of brainstorming consisting of four steps   a question or problem is posed to the group. each person silently generates and writes down their ideas. the moderator writes down the ideas on a flip chart until all ideas are recorded. each recorded idea is discussed until all group members have a clear understanding. individuals vote privately to prioritize the ideas  usually using a scale of one   five  with one being the lowest and five being the highest. voting may take place in many rounds to reduce and focus in on ideas. after each round  the votes are tallied and the highest scoring ideas are selected. observation conversation. observation and conversation provide a direct way of viewing individuals in their environment and how they perform their jobs or tasks and carry out processes. it is particularly helpful for detailed processes when the people who use the product have difficulty or are reluctant to articulate their requirements. observation is also known as  job shadowing.  it is usually done externally by an observer viewing a business expert performing a job. it can also be done by a  participant observer  who actually performs a process or procedure to experience how it is done to uncover hidden requirements. facilitation. described in section interpersonal and team skills. facilitation is used with focused sessions that bring key stakeholders together to define product requirements. workshops can be used to quickly define cross functional requirements and reconcile stakeholder differences. because of their interactive group nature  well facilitated sessions can build trust  foster relationships  and improve communication among the participants  which can lead to increased stakeholder consensus. in addition  issues can be discovered earlier and resolved more quickly than in individual sessions. facilitation skills are used in the following situations  but are not limited to  m joint application design development  j ad . jad sessions are used in the software development industry. these facilitated sessions focus on bringing business subject matter experts and the development team together to gather requirements and improve the software development process.   quality function deployment  qfd . in the manufacturing industry  qfd is another facilitation technique that helps determine critical characteristics for new product development. qfd starts by collecting customer needs  also known as voice of the customer  voc . these needs are then objectively sorted and prioritized  and goals are set for achieving them. m user stories. user stories  which are short  textual descriptions of required functionality  are often developed during a requirements workshop. user stories describe the stakeholder role  who benefits from the feature  role   what the stakeholder needs to accomplish  goal   and the benefit to the stakeholder  motivation .  ,collect requirements,section 5.2.2.6
16,context diagram,has_techniques_and_tools, context diagram the context diagram is an example of a scope model. context diagrams visually depict the product scope by showing a business system  process  equipment  computer system  etc.   and how people and other systems  actors  interact with it  see figure five six . context diagrams show inputs to the business system  the actor s  providing the input  the outputs from the business system  and the actor s  receiving the output. figure five six. context diagram  ,collect requirements,section 5.2.2.7
17,prototypes,has_techniques_and_tools, prototypes prototyping is a method of obtaining early feedback on requirements by providing a model of the expected product before actually building it. examples of prototypes are small scale products  computer generated twod and threed models  mock ups  or simulations. prototypes allow stakeholders to experiment with a model of the final product rather than being limited to discussing abstract representations of their requirements. prototypes support the concept of progressive elaboration in iterative cycles of mock up creation  user experimentation  feedback generation  and prototype revision. when enough feedback cycles have been performed  the requirements obtained from the prototype are sufficiently complete to move to a design or build phase. storyboarding is a prototyping technique showing sequence or navigation through a series of images or illustrations. storyboards are used on a variety of projects in a variety of industries  such as film  advertising  instructional design  and on agile and other software development projects. in software development  storyboards use mock ups to show navigation paths through web pages  screens  or other user interfaces.,collect requirements,section 5.2.2.8
18,requirements documentation,outputs,. requirements documentation is used to detect any deviation in the agreed upon scope for the project or product.   requirements traceability matrix. described in section ,collect requirements,section 5.2.3.1
19,requirements traceability matrix,outputs,. the requirements traceability matrix may be updated to reflect updates in requirement documentation.  ,collect requirements,section 5.2.3.2
20,product analysis,has_techniques_and_tools, product analysis product analysis can be used to define products and services. it includes asking questions about a product or service and forming answers to describe the use  characteristics  and other relevant aspects of what is going to be delivered. each application area has one or more generally accepted methods for translating high level product or service descriptions into meaningful deliverables. requirements are captured at a high level and decomposed to the level of detail needed to design the final product. examples of product analysis techniques include but are not limited to    product breakdown    requirements analysis    systems analysis    systems engineering    value analysis  and   value engineering. ,define scope,section 5.3.2.5
21,project scope statement,outputs, .   wbs. the wbs is a hierarchical decomposition of the total scope of work to be carried out by the project team to accomplish the project objectives and create the required deliverables. each descending level of the wbs represents an increasingly detailed definition of the project work.   work package. the lowest level of the wbs is a work package with a unique identifier. these identifiers provide a structure for hierarchical summation of costs  schedule  and resource information and form a code of accounts. each work package is part of a control account. a control account is a management control point where scope  budget  and schedule are integrated and compared to the earned value for performance measurement. a control account has two or more work packages  though each work package is associated with a single control account.   planning package. a control account may include one or more planning packages. a planning package is a work breakdown structure component below the control account and above the work package with known work content but without detailed schedule activities.    wbs dictionary. the wbs dictionary is a document that provides detailed deliverable  activity  and scheduling information about each component in the wbs. the wbs dictionary is a document that supports the wbs. most of the information included in the wbs dictionary is created by other processes and added to this document at a later stage. information in the wbs dictionary may include but is not limited to  code of account identifier  description of work  assumptions and constraints  responsible organization  schedule milestones  associated schedule activities  resources required  cost estimates  quality requirements  acceptance criteria  technical references  and agreement information. ,define scope,section 5.3.3.1
22,project documents updates,outputs, project documents updates project documents that may be updated as a result of carrying out this process include but are not limited to    assumption log. described in section assumption log. the assumption log is updated with additional assumptions or constraints that were identified during this process.   requirements documentation. described in section ,define scope,section 5.3.3.2
23,decomposition,has_techniques_and_tools, decomposition decomposition is a technique used for dividing and subdividing the project scope and project deliverables into smaller  more manageable parts. the work package is the work defined at the lowest level of the wbs for which cost and duration can be estimated and managed. the level of decomposition is often guided by the degree of control needed to effectively manage the project. the level of detail for work packages will vary with the size and complexity of the project. decomposition of the total project work into work packages generally involves the following activities    identifying and analyzing the deliverables and related work    structuring and organizing the wbs    decomposing the upper wbs levels into lower level detailed components    developing and assigning identification codes to the wbs components  and   verifying that the degree of decomposition of the deliverables is appropriate. a portion of a wbs with some branches of the wbs decomposed down through the work package level is shown in figure five twelve. figure five twelve  sample wbs decomposed down through work packages  a wbs structure may be created through various approaches. some of the popular methods include the top down approach  the use of organization specific guidelines  and the use of wbs templates. a bottom up approach can be used to group subcomponents. the wbs structure can be represented in a number of forms  such as    using phases of the project life cycle as the second level of decomposition  with the product and project deliverables inserted at the third level  as shown in figure five thirteen    using major deliverables as the second level of decomposition  as shown in figure five fourteen  and   incorporating subcomponents that may be developed by organizations outside the project team  such as contracted work. the seller then develops the supporting contract wbs as part of the contracted work. figure five thirteen  sample wbs organized by phase  figure five fourteen. sample wbs with major deliverables decomposition of the upper level wbs components requires subdividing the work for each of the deliverables or subcomponents into its most fundamental components  where the wbs components represent verifiable products  services  or results. if an agile approach is used  epics can be decomposed into user stories. the wbs may be structured as an outline  an organizational chart  or other method that identifies a hierarchical breakdown. verifying the correctness of the decomposition requires determining that the lower level wbs components are those that are necessary and sufficient for completion of the corresponding higher level deliverables. different deliverables can have different levels of decomposition. to arrive at a work package  the work for some deliverables needs to be decomposed only to the next level  while others need additional levels of decomposition. as the work is decomposed to greater levels of detail  the ability to plan  manage  and control the work is enhanced. however  excessive decomposition can lead to nonproductive management effort  inefficient use of resources  decreased efficiency in performing the work  and difficulty aggregating data over different levels of the wbs. decomposition may not be possible for a deliverable or subcomponent that will be accomplished far into the future. the project management team usually waits until the deliverable or subcomponent is agreed on  so the details of the wbs can be developed. this technique is sometimes referred to as rolling wave planning.  the wbs represents all product and project work  including the project management work. the total of the work at the lowest levels should roll up to the higher levels so that nothing is left out and no extra work is performed. this is sometimes called the one hundred percent rule. for specific information regarding the wbs  refer to the practice standard for work breakdown structures   second edition   five . this standard contains industry specific examples of wbs templates that can be tailored to specific projects in a particular application area.,create wbs,section 5.4.2.2
24,scope baseline,outputs,. changes to the scope baseline are incorporated in response to approved changes in scope  scope statement  the wbs  or the wbs dictionary. in some cases  scope variances can be so severe that a revised scope baseline is needed to provide a realistic basis for performance measurement.   schedule baseline. described in section six.,create wbs,section 5.4.3.1
25,verified deliverables,has_inputs, verified deliverables verified deliverables are project deliverables that are completed and checked for correctness through the control quality process. ,validate scope,section 5.5.1.3
26,work performance data,has_inputs, work performance data described in section work performance data. work performance data can include the degree of compliance with requirements  number of nonconformities  severity of the nonconformities  or the number of validation cycles performed in a period of time. ,validate scope,section 5.5.1.4
27,inspection,has_techniques_and_tools, inspection described in section inspection. inspection includes activities such as measuring  examining  and validating to determine whether work and deliverables meet requirements and product acceptance criteria. inspections are sometimes called reviews  product reviews  and walkthroughs. in some application areas  these different terms have unique and specific meanings. ,validate scope,section 5.5.2.1
28,accepted deliverables,outputs, accepted deliverables deliverables that meet the acceptance criteria are formally signed off and approved by the customer or sponsor. formal documentation received from the customer or sponsor acknowledging formal stakeholder acceptance of the project s deliverables is forwarded to the close project or phase process  section close project or phase . ,validate scope,section 5.5.3.1
29,work performance information,outputs, work performance information work performance information includes information about project progress  such as which deliverables have been accepted and which have not been accepted and the reasons why. this information is documented as described in section ten.overview and communicated to stakeholders. ,validate scope,section 5.5.3.2
30,change requests,outputs, change requests the completed deliverables that have not been formally accepted are documented  along with the reasons for non acceptance of those deliverables. those deliverables may require a change request for defect repair. the change requests  described in section change requests  are processed for review and disposition through the perform integrated change control process  section perform integrated change control .  ,validate scope,section 5.5.3.3
31,project management plan updates,outputs, project management plan updates any change to the project management plan goes through the organization s change control process via a change request. components that may require a change request for the project management plan include but are not limited to    scope management plan. described in section ,control scope,section 5.6.3.3
32,schedule management plan,outputs,6.1.3.1,plan schedule management,section 6.1.3.1
33,rolling wave planning,has_techniques_and_tools, rolling wave planning rolling wave planning is an iterative planning technique in which the work to be accomplished in the near term is planned in detail  while work further in the future is planned at a higher level. it is a form of progressive elaboration applicable to work packages  planning packages  and release planning when using an agile or waterfall approach. therefore  work can exist at various levels of detail depending on where it is in the project life cycle. during early strategic planning when information is less defined  work packages may be decomposed to the known level of detail. as more is known about the upcoming events in the near term  work packages can be decomposed into activities. ,define activities,section 6.2.2.3
34,activity list,outputs,. the activity list identifies the activities that will be included in the schedule model.   assumption log. described in section assumption log. assumptions and constraints recorded in the assumption log may give rise to individual project risks that may impact the project schedule.    basis of estimates. described in section ,define activities,section 6.2.3.1
35,activity attributes,outputs,. activity attributes are updated to include any revised resource requirements and any other revisions generated by the develop schedule process.   assumption log. described in section assumption log. the assumption log may be updated with changes to assumptions in duration  resource utilization  sequencing  or other information that is revealed as a result of developing the schedule model.   duration estimates. described in section ,define activities,section 6.2.3.2
36,milestone list,outputs,. the milestone list has scheduled dates for specific milestones.   project schedule network diagrams. described in section ,define activities,section 6.2.3.3
37,precedence diagramming method,has_techniques_and_tools, precedence diagramming method the precedence diagramming method  pdm  is a technique used for constructing a schedule model in which activities are represented by nodes and are graphically linked by one or more logical relationships to show the sequence in which the activities are to be performed. pdm includes four types of dependencies or logical relationships. a predecessor activity is an activity that logically comes before a dependent activity in a schedule. a successor activity is a dependent activity that logically comes after another activity in a schedule. these relationships are defined below and are illustrated in figure six nine     finish to start  fs . a logical relationship in which a successor activity cannot start until a predecessor activity has finished. for example  installing the operating system on a pc  successor  cannot start until the pc hardware is assembled  predecessor .   finish to finish  ff . a logical relationship in which a successor activity cannot finish until a predecessor activity has finished. for example  writing a document  predecessor  is required to finish before editing the document  successor  can finish.   start to start  ss . a logical relationship in which a successor activity cannot start until a predecessor activity has started. for example  level concrete  successor  cannot begin until pour foundation  predecessor  begins.   start to finish  sf . a logical relationship in which a successor activity cannot finish until a predecessor activity has started. for example  a new accounts payable system  successor  has to start before the old accounts payable system can be shut down  predecessor . in pdm  fs is the most commonly used type of precedence relationship. the sf relationship is very rarely used  but is included to present a complete list of the pdm relationship types. two activities can have two logical relationships at the same time  for example  ss and ff . multiple relationships between the same activities are not recommended  so a decision has to be made to select the relationship with the highest impact. closed loops are also not recommended in logical relationships. figure six nine. precedence diagramming method  pdm  relationship types  ,sequence activities,section 6.3.2.1
38,dependency determination and integration,has_techniques_and_tools, dependency determination and integration dependencies may be characterized by the following attributes  mandatory or discretionary  internal or external  as described below . dependency has four attributes  but two can be applicable at the same time in the following ways  mandatory external dependencies  mandatory internal dependencies  discretionary external dependencies  or discretionary internal dependencies.   mandatory dependencies. mandatory dependencies are those that are legally or contractually required or inherent in the nature of the work. mandatory dependencies often involve physical limitations  such as on a construction project  where it is impossible to erect the superstructure until after the foundation has been built  or on an electronics project  where a prototype has to be built before it can be tested. mandatory dependencies are sometimes referred to as hard logic or hard dependencies. technical dependencies may not be mandatory. the project team determines which dependencies are mandatory during the process of sequencing the activities. mandatory dependencies should not be confused with assigning schedule constraints in the scheduling tool.   discretionary dependencies. discretionary dependencies are sometimes referred to as preferred logic  preferential logic  or soft logic. discretionary dependencies are established based on knowledge of best practices within a particular application area or some unusual aspect of the project where a specific sequence is desired  even though there may be other acceptable sequences. for example  generally accepted best practices recommend that during construction  the electrical work should start after finishing the plumbing work. this order is not mandatory and both activities may occur at the same time  in parallel   but performing the activities in sequential order reduces the overall project risk. discretionary dependencies should be fully documented since they can create arbitrary total float values and can limit later scheduling options. when fast tracking techniques are employed  these discretionary dependencies should be reviewed and considered for modification or removal. the project team determines which dependencies are discretionary during the process of sequencing the activities.    external dependencies. external dependencies involve a relationship between project activities and non  project activities. these dependencies are usually outside of the project team s control. for example  the testing activity in a software project may be dependent on the delivery of hardware from an external source  or governmental environmental hearings may need to be held before site preparation can begin on a construction project. the project management team determines which dependencies are external during the process of sequencing the activities.   internal dependencies. internal dependencies involve a precedence relationship between project activities and are generally inside the project team s control. for example  if the team cannot test a machine until they assemble it  there is an internal mandatory dependency. the project management team determines which dependencies are internal during the process of sequencing the activities. ,sequence activities,section 6.3.2.2
39,leads and lags,has_techniques_and_tools,. leads and lags are refinements applied during network analysis to develop a viable schedule by adjusting the start time of the successor activities. leads are used in limited circumstances to advance a successor activity with respect to the predecessor activity  and lags are used in limited circumstances where processes require a set period of time to elapse between the predecessors and successors without work or resource impact.  ,sequence activities,section 6.3.2.3
40,project management information system,has_techniques_and_tools, project management information system  pmis  described in section project management information system. project management information systems includes scheduling software that has the capability to help plan  organize  and adjust the sequence of the activities  insert the logical relationships  lead and lag values  and differentiate the different types of dependencies. ,sequence activities,section 6.3.2.4
41,project schedule network diagrams,outputs,. the project schedule network diagrams contain the logical relationships of predecessors and successors that will be used to calculate the schedule.   project team assignments. described in section nine.overview. the project team assignments specify which resources are assigned to each activity.   resource calendars. described in sections project documents. the resource calendars contain information on the availability of resources during the project.   resource requirements. described in section resource requirements. the activity resource requirements identify the types and quantities of resources required for each activity used to create the schedule model.   risk register. described in section oneoverview. the risk register provides the details of all identified risks  and their characteristics  that affect the schedule model. risk information relevant to the schedule is reflected in schedule reserves using the expected or mean risk impact. ,sequence activities,section 6.3.3.1
42,analogous estimating,has_techniques_and_tools, analogous estimating analogous estimating is a technique for estimating the duration or cost of an activity or a project using historical data from a similar activity or project. analogous estimating uses parameters from a previous  similar project  such as duration  budget  size  weight  and complexity  as the basis for estimating the same parameter or measure for a future project. when estimating durations  this technique relies on the actual duration of previous  similar projects as the basis for estimating the duration of the current project. it is a gross value estimating approach  sometimes adjusted for known differences in project complexity. analogous duration estimating is frequently used to estimate project duration when there is a limited amount of detailed information about the project. analogous estimating is generally less costly and less time consuming than other techniques  but it is also less accurate. analogous duration estimates can be applied to a total project or to segments of a project and may be used in conjunction with other estimating methods. analogous estimating is most reliable when the previous activities are similar in fact and not just in appearance  and the project team members preparing the estimates have the needed expertise. ,estimate activity durations,section 6.4.2.2
43,parametric estimating,has_techniques_and_tools, parametric estimating parametric estimating is an estimating technique in which an algorithm is used to calculate cost or duration based on historical data and project parameters. parametric estimating uses a statistical relationship between historical data and other variables  e.g.  square footage in construction  to calculate an estimate for activity parameters  such as cost  budget  and duration.  durations can be quantitatively determined by multiplying the quantity of work to be performed by the number of labor hours per unit of work. for example  duration on a design project is estimated by the number of drawings multiplied by the number of labor hours per drawing  or on a cable installation  the meters of cable multiplied by the number of labor hours per meter. if the assigned resource is capable of installing twenty five meters of cable per hour  the duration required to install one zero meters is forty hours  one zero meters divided by twenty five meters per hour . this technique can produce higher levels of accuracy depending on the sophistication and underlying data built into the model. parametric schedule estimates can be applied to a total project or to segments of a project  in conjunction with other estimating methods. ,estimate activity durations,section 6.4.2.3
44,three,has_techniques_and_tools, three point estimating the accuracy of single point duration estimates may be improved by considering estimation uncertainty and risk. using three point estimates helps define an approximate range for an activity s duration    most likely  tm . this estimate is based on the duration of the activity  given the resources likely to be assigned  their productivity  realistic expectations of availability for the activity  dependencies on other participants  and interruptions.   optimistic  to . the activity duration based on analysis of the best case scenario for the activity.   pessimistic  tp . the duration based on analysis of the worst case scenario for the activity. depending on the assumed distribution of values within the range of the three estimates  the expected duration  te  can be calculated. one commonly used formula is triangular distribution  te equal   to  tm tp  three. triangular distribution is used when there is insufficient historical data or when using judgmental data. duration estimates based on three points with an assumed distribution provide an expected duration and clarify the range of uncertainty around the expected duration.  ,estimate activity durations,section 6.4.2.4
45,bottom,has_techniques_and_tools, bottom up estimating bottom up estimating is a method of estimating project duration or cost by aggregating the estimates of the lower  level components of the wbs. when an activity s duration cannot be estimated with a reasonable degree of confidence  the work within the activity is decomposed into more detail. the detail durations are estimated. these estimates are then aggregated into a total quantity for each of the activity s durations. activities may or may not have dependencies between them that can affect the application and use of resources. if there are dependencies  this pattern of resource usage is reflected and documented in the estimated requirements of the activity. ,estimate activity durations,section 6.4.2.5
46,duration estimates,outputs,. the number and availability of resources  along with the activity dependencies can result in a change to the duration estimates. if the resource leveling analysis changes the resource requirements  then the duration estimates will likely need to be updated as well.   lessons learned register. described in section lessons learned register. the lessons learned register can be updated with techniques that were efficient and effective in developing the schedule model.   resource requirements. described in section resource requirements. resource leveling can have a significant effect on preliminary estimates for the types and quantities of resources required. if the resource leveling analysis changes the resource requirements  then the resource requirements are updated.   risk register. described in section oneoverview. the risk register may need to be updated to reflect opportunities or threats perceived through scheduling assumptions.  control schedule control schedule control schedule is the process of monitoring the status of the project to update the project schedule and managing changes to the schedule baseline. the key benefit of this process is that the schedule baseline is maintained throughout the project. this process is performed throughout the project. the inputs  tools and techniques  and outputs of this process are depicted in figure six twenty two. figure six twenty three depicts the data flow diagram of the process. figure six twenty two. control schedule  inputs  tools   techniques  and outputs  figure six twenty three. control schedule  data flow diagram updating the schedule model requires knowing the actual performance to date. any change to the schedule baseline can only be approved through the perform integrated change control process  section perform integrated change control . control schedule  as a component of the perform integrated change control process  is concerned with    determining the current status of the project schedule    influencing the factors that create schedule changes    reconsidering necessary schedule reserves    determining if the project schedule has changed  and   managing the actual changes as they occur.  when an agile approach is used  control schedule is concerned with    determining the current status of the project schedule by comparing the total amount of work delivered and accepted against the estimates of work completed for the elapsed time cycle    conducting retrospectives  scheduled reviews to record lessons learned  for correcting processes and improving  if required    reprioritizing the remaining work plan  backlog     determining the rate at which the deliverables are produced  validated  and accepted  velocity  in the given time per iteration  agreed upon work cycle duration  typically two weeks or one month     determining that the project schedule has changed  and   managing the actual changes as they occur. when work is being contracted  regular and milestone status updates from contractors and suppliers are a means of ensuring the work is progressing as agreed upon to ensure the schedule is under control. scheduled status reviews and walkthroughs should be done to ensure the contractor reports are accurate and complete.,estimate activity durations,section 6.4.3.1
47,basis of estimates,outputs,. the amount and type of additional details supporting the duration estimate vary by application area. regardless of the level of detail  the supporting documentation should provide a clear and complete understanding of how the duration estimate was derived.   duration estimates. described in section ,estimate activity durations,section 6.4.3.2
48,schedule network analysis,has_techniques_and_tools, schedule network analysis schedule network analysis is the overarching technique used to generate the project schedule model. it employs several other techniques such as critical path method  described in section ,develop schedule,section 6.5.2.1
49,critical path method,has_techniques_and_tools,. comparing the progress along the critical path can help determine schedule status. the variance on the critical path will have a direct impact on the project end date. evaluating the progress of activities on near critical paths can identify schedule risk. ,develop schedule,section 6.5.2.2
50,resource optimization,has_techniques_and_tools,. resource optimization techniques involve the scheduling of activities and the resources required by those activities while taking into consideration both the resource availability and the project time.  ,develop schedule,section 6.5.2.3
51,schedule compression,has_techniques_and_tools,  are used to find ways to bring project activities that are behind into alignment with the plan by fast tracking or crashing the schedule for the remaining work.,develop schedule,section 6.5.2.6
52,agile release planning,has_techniques_and_tools, agile release planning agile release planning provides a high level summary timeline of the release schedule  typically three to six months  based on the product roadmap and the product vision for the product s evolution. agile release planning also determines the number of iterations or sprints in the release  and allows the product owner and team to decide how much needs to be developed and how long it will take to have a releasable product based on business goals  dependencies  and impediments. since features represent value to the customer  the timeline provides a more easily understood project schedule as it defines which feature will be available at the end of each iteration  which is exactly the depth of information the customer is looking for. figure six twenty shows the relationship among product vision  product roadmap  release planning  and iteration planning. figure six twenty. relationship between product vision  release planning  and iteration planning ,develop schedule,section 6.5.2.8
53,schedule baseline,outputs,. changes to the schedule baseline are incorporated in response to approved change requests related to change in project scope  resources  or activity duration estimates. the schedule baseline may be updated to reflect changes caused by schedule compression techniques or performance issues.   cost baseline. described in section cost baseline. changes to the cost baseline are incorporated in response to approved changes in scope  resources  or cost estimates.   performance measurement baseline. described in section project management plan. changes to the performance measurement baseline are incorporated in response to approved changes in scope  schedule performance  or cost estimates. in some cases  the performance variances can be so severe that a change request is put forth to revise the performance measurement baseline to provide a realistic basis for performance measurement.  ,develop schedule,section 6.5.3.1
54,project schedule,outputs,. project schedule refers to the most recent version with notations to indicate updates  completed activities  and started activities as of the indicated date.   resource calendars. described in section project documents. resource calendars show the availability of team and physical resources.   schedule data. described in section ,develop schedule,section 6.5.3.2
55,schedule data,outputs,. schedule data will be reviewed and updated in the control schedule process. ,develop schedule,section 6.5.3.3
56,project calendars,outputs,. a schedule model may require more than one project calendar to allow for different work periods for some activities to calculate the schedule forecasts.   project schedule. described in section ,develop schedule,section 6.5.3.4
57,schedule forecasts,outputs, schedule forecasts schedule updates are forecasts of estimates or predictions of conditions and events in the project s future based on information and knowledge available at the time of the forecast. forecasts are updated and reissued based on work performance information provided as the project is executed. the information is based on the project s past performance and expected future performance based on corrective or preventive actions. this can include earned value performance indicators  as well as schedule reserve information that could impact the project in the future.  ,control schedule,section 6.6.3.2
58,cost management plan,outputs,. changes to the cost management plan  such as changes to control thresholds or specified levels of accuracy required in managing the project s cost  are incorporated in response to feedback from relevant stakeholders.    cost baseline. described in section ,plan cost management,section 7.1.3.1
59,cost estimates,outputs,. cost estimates are updated to record any additional information.    project schedule. described in section project schedule. estimated costs for each activity may be recorded as part of the project schedule.    risk register. described in section oneoverview. new risks identified during this process are recorded in the risk register and managed using the risk management processes.  control costs control costs  control costs is the process of monitoring the status of the project to update the project costs and managing changes to the cost baseline. the key benefit of this process is that the cost baseline is maintained throughout the project. this process is performed throughout the project. the inputs  tools and techniques  and outputs of this process are depicted in figure seven one . figure seven oneone depicts the data flow diagram of the process.  figure seven one . control costs  inputs  tools   techniques  and outputs  figure seven oneone. control costs  data flow diagram  updating the budget requires knowledge of the actual costs spent to date. any increase to the authorized budget can only be approved through the perform integrated change control process  section perform integrated change control . monitoring the expenditure of funds without regard to the value of work being accomplished for such expenditures has little value to the project  other than to track the outflow of funds. much of the effort of cost control involves analyzing the relationship between the consumption of project funds and the work being accomplished for such expenditures. the key to effective cost control is the management of the approved cost baseline.  project cost control includes     influencing the factors that create changes to the authorized cost baseline    ensuring that all change requests are acted on in a timely manner     managing the actual changes when and as they occur     ensuring that cost expenditures do not exceed the authorized funding by period  by wbs component  by activity  and in total for the project     monitoring cost performance to isolate and understand variances from the approved cost baseline    monitoring work performance against funds expended     preventing unapproved changes from being included in the reported cost or resource usage     informing appropriate stakeholders of all approved changes and associated cost  and    bringing expected cost overruns within acceptable limits.  ,estimate costs,section 7.2.3.1
